mr,ref
"day[2 0], month[4], year[2003]","It is twenty April 2003 .","-1 -1 0 2 3 -1"
"day[0 6], month[1], year[2012]","The date is January the sixth of the year 2012 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 0], month[11], year[2019]","The date is the twentieth of November in the year 2019 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[9], year[2016]","It is the nineteenth of September in the year 2016 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 4], month[9], year[2011]","The date is September the twenty fourth of the year 2011 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 4], month[8], year[2008]","Today is August the fourth of the year 2008 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 7], month[4], year[2002]","It is April seventeen , 2002 .","-1 -1 2 0 4 3 -1"
"day[0 5], month[10], year[2016]","Today is five October 2016 .","-1 -1 0 2 3 -1"
"day[0 3], month[5], year[2002]","It is May the third of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 2], month[5], year[2015]","Today is May the twelfth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[3], year[2000]","It is March twenty four , 2000 .","-1 -1 2 0 0 4 3 -1"
"day[1 1], month[1], year[2005]","It is the eleventh of January in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[6], year[2002]","Today is June the nineteenth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[0 4], month[1], year[2015]","Today is January four in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 5], month[7], year[2003]","Today is July fifteen in the year 2003 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[4], year[2004]","The date is four April of the year 2004 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 6], month[1], year[2019]","It is January twenty six in the year 2019 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 3], month[3], year[2008]","It is the third of March in the year 2008 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 0], month[10], year[2007]","The date is October the twentieth , 2007 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 2], month[9], year[2006]","It is the twelfth of September in the year 2006 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 6], month[12], year[2006]","It is sixteen December 2006 .","-1 -1 0 2 3 -1"
"day[2 7], month[12], year[2003]","The date is December the twenty seventh , 2003 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 8], month[9], year[2017]","Today is the eighteenth of September , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 6], month[4], year[2014]","It is the sixth of April , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[10], year[2000]","Today is October thirteen , 2000 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[11], year[2004]","Today is November twelve , 2004 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[5], year[2020]","It is May the twenty eighth , 2020 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 2], month[11], year[2001]","Today is twelve November of the year 2001 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[3], year[2017]","It is seven March 2017 .","-1 -1 0 2 3 -1"
"day[1 9], month[10], year[2001]","Today is October nineteen , 2001 .","-1 -1 2 0 4 3 -1"
"day[1 5], month[5], year[2013]","Today is fifteen May 2013 .","-1 -1 0 2 3 -1"
"day[2 1], month[10], year[2011]","The date is October the twenty first , 2011 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 2], month[1], year[2018]","The date is the twenty second of January , 2018 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 6], month[4], year[2005]","The date is sixteen April 2005 .","-1 -1 -1 0 2 3 -1"
"day[1 7], month[8], year[2006]","Today is the seventeenth of August in the year 2006 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[4], year[2005]","It is twenty seven April 2005 .","-1 -1 0 0 2 3 -1"
"day[0 3], month[8], year[2006]","The date is three August 2006 .","-1 -1 -1 0 2 3 -1"
"day[1 5], month[7], year[2016]","The date is fifteen July of the year 2016 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 9], month[3], year[2001]","Today is March the twenty ninth , 2001 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 4], month[3], year[2003]","It is fourteen March of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[9], year[2005]","Today is September eleven , 2005 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[5], year[2004]","Today is May sixteen in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[8], year[2000]","The date is August fourteen , 2000 .","-1 -1 -1 2 0 4 3 -1"
"day[0 1], month[1], year[2015]","It is January one , 2015 .","-1 -1 2 0 4 3 -1"
"day[0 9], month[11], year[2012]","Today is nine November 2012 .","-1 -1 0 2 3 -1"
"day[3 0], month[3], year[2019]","It is March thirty , 2019 .","-1 -1 2 0 4 3 -1"
"day[1 7], month[8], year[2006]","The date is August seventeen , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[2 6], month[3], year[2013]","The date is March the twenty sixth , 2013 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 7], month[3], year[2015]","Today is March twenty seven , 2015 .","-1 -1 2 0 0 4 3 -1"
"day[2 0], month[10], year[2008]","The date is twenty October of the year 2008 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 1], month[5], year[2008]","The date is May the first of the year 2008 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[1], year[2015]","Today is the nineteenth of January , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[8], year[2015]","The date is twenty six August 2015 .","-1 -1 -1 0 0 2 3 -1"
"day[0 9], month[12], year[2010]","It is the ninth of December , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[3], year[2006]","It is twenty two March 2006 .","-1 -1 0 0 2 3 -1"
"day[2 0], month[8], year[2012]","It is August twenty , 2012 .","-1 -1 2 0 4 3 -1"
"day[2 0], month[12], year[2005]","The date is the twentieth of December , 2005 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[9], year[2001]","The date is September five , 2001 .","-1 -1 -1 2 0 4 3 -1"
"day[0 8], month[8], year[2008]","It is August eight , 2008 .","-1 -1 2 0 4 3 -1"
"day[0 3], month[7], year[2000]","Today is the third of July in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[3], year[2014]","Today is the eleventh of March in the year 2014 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[10], year[2016]","Today is October thirty one , 2016 .","-1 -1 2 0 0 4 3 -1"
"day[0 5], month[12], year[2001]","The date is December the fifth of the year 2001 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[1], year[2020]","It is January the twenty fifth of the year 2020 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 6], month[8], year[2007]","It is August the twenty sixth , 2007 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[8], year[2019]","The date is August the eleventh , 2019 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 0], month[9], year[2013]","The date is twenty September 2013 .","-1 -1 -1 0 2 3 -1"
"day[1 9], month[5], year[2011]","The date is nineteen May 2011 .","-1 -1 -1 0 2 3 -1"
"day[2 1], month[10], year[2019]","Today is twenty one October of the year 2019 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 1], month[3], year[2019]","It is March the first of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[3], year[2000]","It is the eleventh of March in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 0], month[1], year[2016]","The date is the twentieth of January in the year 2016 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[5], year[2002]","Today is the fifth of May , 2002 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 0], month[9], year[2019]","The date is the twentieth of September in the year 2019 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[5], year[2012]","Today is the nineteenth of May , 2012 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 1], month[5], year[2013]","Today is May twenty one , 2013 .","-1 -1 2 0 0 4 3 -1"
"day[2 0], month[6], year[2005]","It is June the twentieth of the year 2005 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 5], month[10], year[2019]","It is five October of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 6], month[8], year[2000]","Today is August twenty six in the year 2000 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 1], month[12], year[2008]","It is eleven December 2008 .","-1 -1 0 2 3 -1"
"day[2 4], month[7], year[2017]","The date is July twenty four , 2017 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 9], month[4], year[2020]","The date is twenty nine April of the year 2020 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 2], month[3], year[2008]","Today is two March 2008 .","-1 -1 0 2 3 -1"
"day[1 6], month[2], year[2001]","Today is the sixteenth of February in the year 2001 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[4], year[2016]","Today is the second of April , 2016 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[2], year[2004]","It is twenty five February 2004 .","-1 -1 0 0 2 3 -1"
"day[1 8], month[7], year[2004]","The date is July the eighteenth , 2004 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[3 0], month[4], year[2015]","Today is April the thirtieth , 2015 .","-1 -1 2 -1 1 4 3 -1"
"day[0 6], month[2], year[2012]","The date is February the sixth of the year 2012 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[12], year[2011]","It is three December 2011 .","-1 -1 0 2 3 -1"
"day[0 2], month[5], year[2006]","The date is May two , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[2 3], month[5], year[2010]","The date is twenty three May 2010 .","-1 -1 -1 0 0 2 3 -1"
"day[1 9], month[11], year[2011]","The date is nineteen November 2011 .","-1 -1 -1 0 2 3 -1"
"day[2 3], month[12], year[2010]","Today is twenty three December 2010 .","-1 -1 0 0 2 3 -1"
"day[0 8], month[5], year[2018]","The date is May the eighth , 2018 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 4], month[3], year[2007]","The date is the fourth of March in the year 2007 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[8], year[2001]","Today is the eighteenth of August , 2001 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[10], year[2004]","Today is October the ninth , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[0 9], month[8], year[2010]","The date is August nine , 2010 .","-1 -1 -1 2 0 4 3 -1"
"day[2 0], month[4], year[2002]","It is April twenty , 2002 .","-1 -1 2 0 4 3 -1"
"day[2 1], month[2], year[2009]","It is twenty one February 2009 .","-1 -1 0 0 2 3 -1"
"day[2 7], month[8], year[2020]","It is August the twenty seventh of the year 2020 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 1], month[2], year[2004]","Today is February the eleventh , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[2 4], month[9], year[2000]","The date is the twenty fourth of September , 2000 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 9], month[1], year[2000]","The date is nineteen January 2000 .","-1 -1 -1 0 2 3 -1"
"day[2 6], month[4], year[2006]","The date is twenty six April 2006 .","-1 -1 -1 0 0 2 3 -1"
"day[2 1], month[12], year[2020]","The date is twenty one December of the year 2020 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 8], month[5], year[2002]","It is May eight in the year 2002 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[6], year[2008]","The date is June the twenty eighth of the year 2008 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 0], month[11], year[2017]","Today is ten November of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 9], month[5], year[2020]","Today is the nineteenth of May in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 4], month[2], year[2002]","The date is February twenty four , 2002 .","-1 -1 -1 2 0 0 4 3 -1"
"day[2 9], month[2], year[2011]","It is February the twenty ninth of the year 2011 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 1], month[2], year[2002]","The date is February twenty one in the year 2002 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 2], month[6], year[2015]","Today is June the twelfth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[4], year[2008]","It is the eighteenth of April , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[8], year[2019]","The date is the sixteenth of August , 2019 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[4], year[2001]","The date is April nine , 2001 .","-1 -1 -1 2 0 4 3 -1"
"day[2 1], month[3], year[2019]","The date is the twenty first of March , 2019 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 6], month[3], year[2008]","Today is the sixteenth of March in the year 2008 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[11], year[2018]","Today is five November 2018 .","-1 -1 0 2 3 -1"
"day[1 2], month[12], year[2010]","The date is the twelfth of December in the year 2010 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[7], year[2011]","The date is one July of the year 2011 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[11], year[2005]","Today is November twenty eight in the year 2005 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[3 1], month[1], year[2002]","Today is January the thirty first of the year 2002 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[12], year[2009]","It is six December 2009 .","-1 -1 0 2 3 -1"
"day[0 2], month[4], year[2000]","It is two April 2000 .","-1 -1 0 2 3 -1"
"day[1 6], month[7], year[2019]","The date is July sixteen , 2019 .","-1 -1 -1 2 0 4 3 -1"
"day[0 8], month[10], year[2018]","Today is the eighth of October in the year 2018 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[4], year[2012]","The date is April two , 2012 .","-1 -1 -1 2 0 4 3 -1"
"day[1 2], month[10], year[2008]","It is October the twelfth , 2008 .","-1 -1 2 -1 1 4 3 -1"
"day[1 6], month[4], year[2004]","It is sixteen April 2004 .","-1 -1 0 2 3 -1"
"day[3 1], month[8], year[2014]","It is August the thirty first of the year 2014 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 9], month[11], year[2010]","The date is nine November of the year 2010 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[4], year[2018]","The date is eleven April of the year 2018 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[3], year[2005]","It is thirteen March of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 4], month[3], year[2006]","The date is fourteen March of the year 2006 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[1], year[2016]","Today is January three , 2016 .","-1 -1 2 0 4 3 -1"
"day[0 4], month[1], year[2013]","The date is four January 2013 .","-1 -1 -1 0 2 3 -1"
"day[2 5], month[2], year[2007]","Today is February twenty five , 2007 .","-1 -1 2 0 0 4 3 -1"
"day[1 4], month[1], year[2014]","The date is the fourteenth of January , 2014 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[3], year[2017]","It is twenty seven March of the year 2017 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 0], month[8], year[2020]","The date is ten August 2020 .","-1 -1 -1 0 2 3 -1"
"day[0 6], month[4], year[2000]","Today is six April of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[10], year[2012]","It is thirteen October 2012 .","-1 -1 0 2 3 -1"
"day[0 1], month[12], year[2010]","Today is the first of December , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 7], month[10], year[2009]","The date is the seventh of October in the year 2009 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[12], year[2019]","It is the first of December , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[7], year[2015]","Today is July five in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[11], year[2017]","It is the seventh of November in the year 2017 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[2], year[2003]","The date is twelve February 2003 .","-1 -1 -1 0 2 3 -1"
"day[0 7], month[9], year[2016]","It is the seventh of September , 2016 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 8], month[5], year[2020]","It is May the eighth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[7], year[2005]","The date is July twenty six , 2005 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 1], month[5], year[2013]","The date is May one in the year 2013 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[7], year[2014]","It is twenty seven July of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 7], month[1], year[2020]","The date is January the twenty seventh of the year 2020 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 1], month[10], year[2005]","Today is October eleven , 2005 .","-1 -1 2 0 4 3 -1"
"day[2 5], month[1], year[2012]","It is the twenty fifth of January , 2012 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 3], month[1], year[2002]","It is January the third of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[2], year[2017]","It is the twenty ninth of February in the year 2017 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[3], year[2004]","Today is the eighteenth of March in the year 2004 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[6], year[2001]","The date is June twenty eight in the year 2001 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 4], month[6], year[2008]","Today is twenty four June of the year 2008 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 0], month[7], year[2020]","The date is the thirtieth of July , 2020 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[8], year[2010]","The date is twenty four August 2010 .","-1 -1 -1 0 0 2 3 -1"
"day[1 1], month[6], year[2012]","Today is June eleven , 2012 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[1], year[2014]","It is January twelve in the year 2014 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 2], month[8], year[2019]","The date is twelve August 2019 .","-1 -1 -1 0 2 3 -1"
"day[2 1], month[9], year[2001]","Today is twenty one September of the year 2001 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 3], month[5], year[2018]","The date is May thirteen in the year 2018 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[6], year[2009]","It is June five , 2009 .","-1 -1 2 0 4 3 -1"
"day[1 7], month[4], year[2011]","It is seventeen April 2011 .","-1 -1 0 2 3 -1"
"day[3 1], month[6], year[2009]","Today is June the thirty first of the year 2009 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 1], month[1], year[2004]","It is January eleven in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[4], year[2004]","The date is the nineteenth of April , 2004 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 3], month[5], year[2008]","The date is the twenty third of May in the year 2008 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[2], year[2005]","It is twenty eight February 2005 .","-1 -1 0 0 2 3 -1"
"day[1 0], month[2], year[2005]","Today is ten February 2005 .","-1 -1 0 2 3 -1"
"day[1 1], month[8], year[2000]","It is August the eleventh of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 7], month[6], year[2008]","It is June twenty seven in the year 2008 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 5], month[10], year[2003]","Today is the twenty fifth of October , 2003 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 3], month[2], year[2017]","Today is February the thirteenth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[4], year[2007]","It is April eleven in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[2], year[2011]","The date is February thirty , 2011 .","-1 -1 -1 2 0 4 3 -1"
"day[0 1], month[8], year[2003]","It is the first of August , 2003 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[8], year[2018]","The date is August the twenty fourth of the year 2018 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 3], month[12], year[2018]","The date is December thirteen , 2018 .","-1 -1 -1 2 0 4 3 -1"
"day[0 7], month[11], year[2001]","The date is the seventh of November in the year 2001 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[2], year[2018]","The date is February the thirtieth of the year 2018 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[2], year[2003]","It is February the sixth of the year 2003 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 3], month[4], year[2001]","Today is thirteen April of the year 2001 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[11], year[2017]","It is twenty seven November of the year 2017 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 0], month[12], year[2013]","It is December the tenth of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[10], year[2004]","It is October the twenty eighth of the year 2004 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 6], month[5], year[2018]","Today is the sixteenth of May in the year 2018 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[5], year[2010]","It is May the twenty third , 2010 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 1], month[6], year[2008]","Today is June the first of the year 2008 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 4], month[6], year[2002]","It is June the fourth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[0 3], month[2], year[2017]","Today is the third of February in the year 2017 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 4], month[5], year[2004]","Today is fourteen May 2004 .","-1 -1 0 2 3 -1"
"day[1 6], month[1], year[2008]","Today is January sixteen , 2008 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[11], year[2016]","Today is November the sixteenth of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 1], month[10], year[2000]","Today is the twenty first of October , 2000 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 7], month[10], year[2020]","It is October seventeen , 2020 .","-1 -1 2 0 4 3 -1"
"day[2 3], month[9], year[2011]","It is September the twenty third of the year 2011 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 5], month[4], year[2019]","The date is April the twenty fifth of the year 2019 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 0], month[11], year[2019]","Today is twenty November of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[2], year[2004]","It is seven February of the year 2004 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[12], year[2009]","The date is twenty seven December of the year 2009 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 0], month[5], year[2010]","Today is thirty May of the year 2010 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[12], year[2004]","It is December ten , 2004 .","-1 -1 2 0 4 3 -1"
"day[0 5], month[11], year[2012]","The date is the fifth of November , 2012 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[8], year[2019]","The date is four August of the year 2019 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 9], month[10], year[2017]","Today is the ninth of October , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 2], month[6], year[2007]","It is twelve June of the year 2007 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 7], month[1], year[2011]","Today is January twenty seven , 2011 .","-1 -1 2 0 0 4 3 -1"
