mr,ref
"day[0 7], month[5], year[2018]","Today is May seven in the year 2018 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[1], year[2019]","Today is the tenth of January , 2019 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[12], year[2008]","It is December twenty two in the year 2008 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 7], month[12], year[2001]","The date is the seventeenth of December , 2001 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 6], month[3], year[2015]","The date is March the sixth , 2015 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 9], month[11], year[2009]","Today is November the nineteenth of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[1], year[2008]","The date is January the eighth , 2008 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 8], month[5], year[2002]","It is May the eighteenth of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[9], year[2012]","Today is September the eighteenth , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[2 4], month[2], year[2005]","The date is twenty four February 2005 .","-1 -1 -1 0 0 2 3 -1"
"day[2 5], month[2], year[2009]","The date is twenty five February of the year 2009 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 8], month[2], year[2018]","It is the eighth of February in the year 2018 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[1], year[2019]","Today is one January of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 6], month[11], year[2006]","It is November the twenty sixth of the year 2006 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 0], month[2], year[2014]","It is the twentieth of February , 2014 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 4], month[12], year[2019]","It is the fourteenth of December in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[12], year[2013]","The date is December three in the year 2013 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 7], month[1], year[2014]","Today is January twenty seven , 2014 .","-1 -1 2 0 0 4 3 -1"
"day[1 2], month[11], year[2015]","Today is November twelve , 2015 .","-1 -1 2 0 4 3 -1"
"day[0 3], month[5], year[2018]","Today is May the third , 2018 .","-1 -1 2 -1 1 4 3 -1"
"day[0 8], month[4], year[2015]","It is April the eighth , 2015 .","-1 -1 2 -1 1 4 3 -1"
"day[0 5], month[7], year[2003]","Today is July the fifth of the year 2003 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 6], month[5], year[2011]","It is sixteen May 2011 .","-1 -1 0 2 3 -1"
"day[2 7], month[8], year[2006]","The date is the twenty seventh of August in the year 2006 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[7], year[2017]","It is July the sixth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[0 6], month[5], year[2017]","The date is six May 2017 .","-1 -1 -1 0 2 3 -1"
"day[0 2], month[1], year[2019]","It is January two in the year 2019 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[3], year[2003]","The date is March the thirteenth , 2003 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 4], month[9], year[2016]","It is the fourteenth of September , 2016 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[8], year[2016]","It is the twenty fifth of August , 2016 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 8], month[8], year[2005]","Today is eighteen August 2005 .","-1 -1 0 2 3 -1"
"day[2 5], month[10], year[2017]","The date is the twenty fifth of October in the year 2017 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[8], year[2013]","Today is August twenty eight in the year 2013 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 6], month[2], year[2008]","It is twenty six February 2008 .","-1 -1 0 0 2 3 -1"
"day[0 1], month[2], year[2008]","It is February the first of the year 2008 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 2], month[1], year[2007]","Today is January the second , 2007 .","-1 -1 2 -1 1 4 3 -1"
"day[0 4], month[1], year[2009]","Today is the fourth of January , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[2], year[2020]","The date is twenty six February 2020 .","-1 -1 -1 0 0 2 3 -1"
"day[2 9], month[11], year[2003]","Today is the twenty ninth of November , 2003 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 6], month[5], year[2008]","The date is twenty six May of the year 2008 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 8], month[10], year[2001]","Today is eighteen October 2001 .","-1 -1 0 2 3 -1"
"day[1 6], month[2], year[2015]","The date is February the sixteenth , 2015 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 9], month[5], year[2005]","Today is the nineteenth of May in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[3], year[2017]","Today is March the eighteenth of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[12], year[2006]","Today is eleven December of the year 2006 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[4], year[2000]","Today is sixteen April 2000 .","-1 -1 0 2 3 -1"
"day[1 6], month[7], year[2009]","Today is the sixteenth of July , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[8], year[2015]","Today is August the thirteenth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[12], year[2009]","Today is December the eighteenth , 2009 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[3], year[2003]","The date is March fourteen in the year 2003 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 6], month[2], year[2015]","It is the sixteenth of February , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 0], month[5], year[2008]","Today is the tenth of May in the year 2008 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 0], month[9], year[2008]","The date is September the twentieth , 2008 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 7], month[4], year[2007]","It is the twenty seventh of April in the year 2007 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[6], year[2005]","It is twenty eight June 2005 .","-1 -1 0 0 2 3 -1"
"day[2 5], month[4], year[2007]","Today is the twenty fifth of April , 2007 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 2], month[7], year[2020]","The date is July the twelfth of the year 2020 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 9], month[5], year[2019]","The date is May the ninth , 2019 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 7], month[8], year[2003]","Today is the seventh of August , 2003 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[3], year[2020]","It is five March 2020 .","-1 -1 0 2 3 -1"
"day[2 3], month[10], year[2011]","Today is the twenty third of October , 2011 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 6], month[11], year[2011]","Today is sixteen November of the year 2011 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[2], year[2002]","It is February three , 2002 .","-1 -1 2 0 4 3 -1"
"day[2 8], month[9], year[2017]","Today is September the twenty eighth of the year 2017 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 8], month[6], year[2000]","The date is eight June of the year 2000 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 7], month[12], year[2019]","Today is December seventeen , 2019 .","-1 -1 2 0 4 3 -1"
"day[1 0], month[9], year[2013]","It is ten September of the year 2013 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 9], month[5], year[2014]","Today is May twenty nine , 2014 .","-1 -1 2 0 0 4 3 -1"
"day[2 5], month[5], year[2012]","The date is twenty five May of the year 2012 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 5], month[3], year[2014]","The date is fifteen March 2014 .","-1 -1 -1 0 2 3 -1"
"day[2 4], month[10], year[2011]","Today is October twenty four in the year 2011 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[3 0], month[12], year[2001]","The date is the thirtieth of December in the year 2001 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[3], year[2015]","The date is March twenty nine in the year 2015 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 2], month[4], year[2013]","Today is April twelve , 2013 .","-1 -1 2 0 4 3 -1"
"day[0 9], month[4], year[2019]","It is nine April of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[6], year[2009]","Today is twenty eight June of the year 2009 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 9], month[4], year[2008]","The date is April the nineteenth , 2008 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 5], month[12], year[2020]","It is December the fifth , 2020 .","-1 -1 2 -1 1 4 3 -1"
"day[2 7], month[5], year[2011]","The date is May twenty seven in the year 2011 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 9], month[10], year[2008]","The date is nineteen October 2008 .","-1 -1 -1 0 2 3 -1"
"day[2 9], month[11], year[2005]","It is November the twenty ninth , 2005 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 6], month[5], year[2009]","Today is May the twenty sixth of the year 2009 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 1], month[8], year[2010]","Today is August the twenty first of the year 2010 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 4], month[9], year[2011]","It is the twenty fourth of September , 2011 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 0], month[9], year[2002]","The date is September the tenth , 2002 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 1], month[5], year[2005]","The date is May the twenty first , 2005 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 3], month[8], year[2003]","Today is August the twenty third , 2003 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 1], month[4], year[2005]","It is April one in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[4], year[2000]","The date is April the eighth of the year 2000 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 4], month[5], year[2013]","It is May fourteen , 2013 .","-1 -1 2 0 4 3 -1"
"day[0 1], month[4], year[2013]","It is April one in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[5], year[2002]","It is fourteen May 2002 .","-1 -1 0 2 3 -1"
"day[0 8], month[8], year[2011]","Today is the eighth of August in the year 2011 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[2], year[2005]","The date is two February of the year 2005 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[12], year[2015]","Today is December the thirteenth , 2015 .","-1 -1 2 -1 1 4 3 -1"
"day[1 6], month[12], year[2005]","It is the sixteenth of December in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[6], year[2005]","Today is June eighteen , 2005 .","-1 -1 2 0 4 3 -1"
"day[0 3], month[3], year[2006]","Today is March three , 2006 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[9], year[2014]","Today is September the twenty ninth , 2014 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 5], month[1], year[2005]","It is January the twenty fifth , 2005 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 8], month[8], year[2002]","The date is August eighteen in the year 2002 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 2], month[12], year[2003]","The date is the second of December , 2003 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[6], year[2002]","The date is the fifth of June , 2002 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 9], month[9], year[2008]","The date is September twenty nine in the year 2008 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 3], month[8], year[2009]","Today is August thirteen in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[8], year[2004]","Today is August the nineteenth , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[1 7], month[12], year[2007]","Today is December seventeen , 2007 .","-1 -1 2 0 4 3 -1"
"day[2 4], month[10], year[2000]","Today is the twenty fourth of October , 2000 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 1], month[7], year[2004]","The date is July the first , 2004 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 0], month[5], year[2020]","The date is twenty May of the year 2020 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 9], month[4], year[2019]","The date is nineteen April 2019 .","-1 -1 -1 0 2 3 -1"
"day[1 2], month[2], year[2007]","Today is the twelfth of February in the year 2007 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 8], month[5], year[2000]","Today is May the eighth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 6], month[1], year[2000]","Today is the sixth of January , 2000 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 1], month[7], year[2018]","Today is July the eleventh of the year 2018 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 0], month[10], year[2013]","Today is October the thirtieth of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[3], year[2005]","Today is March the eighteenth , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[1 7], month[1], year[2005]","It is seventeen January of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 2], month[6], year[2001]","It is June twenty two , 2001 .","-1 -1 2 0 0 4 3 -1"
"day[0 6], month[12], year[2000]","The date is the sixth of December , 2000 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[5], year[2006]","Today is the seventeenth of May , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 3], month[5], year[2011]","Today is May the thirteenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[2 8], month[4], year[2000]","It is the twenty eighth of April in the year 2000 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[6], year[2006]","Today is the eighteenth of June , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[2], year[2018]","The date is February twenty two in the year 2018 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 0], month[6], year[2014]","The date is the tenth of June in the year 2014 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[9], year[2007]","The date is September twenty seven in the year 2007 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 9], month[3], year[2001]","It is the ninth of March in the year 2001 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[1], year[2019]","The date is nineteen January of the year 2019 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 6], month[8], year[2002]","The date is August the sixth of the year 2002 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 6], month[2], year[2002]","The date is February sixteen , 2002 .","-1 -1 -1 2 0 4 3 -1"
"day[1 2], month[5], year[2002]","It is May the twelfth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[0 6], month[10], year[2000]","Today is six October of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 5], month[8], year[2020]","The date is August twenty five , 2020 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 4], month[9], year[2011]","Today is fourteen September 2011 .","-1 -1 0 2 3 -1"
"day[1 4], month[4], year[2003]","The date is April the fourteenth of the year 2003 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[10], year[2015]","The date is October fifteen in the year 2015 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[12], year[2006]","It is three December 2006 .","-1 -1 0 2 3 -1"
"day[0 9], month[11], year[2016]","It is the ninth of November in the year 2016 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[7], year[2006]","The date is July the twenty fifth of the year 2006 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 7], month[3], year[2020]","Today is seventeen March 2020 .","-1 -1 0 2 3 -1"
"day[0 2], month[8], year[2013]","It is August two , 2013 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[5], year[2000]","It is May twenty two in the year 2000 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 4], month[2], year[2000]","Today is February the fourth of the year 2000 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[1], year[2019]","Today is the nineteenth of January in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[3], year[2005]","Today is March ten in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[11], year[2002]","Today is the nineteenth of November in the year 2002 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[9], year[2020]","It is the thirtieth of September in the year 2020 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[1], year[2020]","The date is January the ninth , 2020 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 8], month[1], year[2008]","It is the eighteenth of January , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 1], month[9], year[2020]","It is the twenty first of September in the year 2020 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[3], year[2002]","Today is the twenty ninth of March in the year 2002 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[5], year[2005]","It is twenty five May 2005 .","-1 -1 0 0 2 3 -1"
"day[2 5], month[4], year[2012]","Today is April twenty five , 2012 .","-1 -1 2 0 0 4 3 -1"
"day[3 1], month[7], year[2008]","The date is July the thirty first , 2008 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[3 1], month[8], year[2019]","Today is thirty one August of the year 2019 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 5], month[8], year[2014]","It is twenty five August of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 1], month[11], year[2005]","The date is November thirty one in the year 2005 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 5], month[5], year[2020]","Today is May fifteen in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 5], month[3], year[2008]","Today is the twenty fifth of March in the year 2008 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 8], month[6], year[2001]","It is eight June of the year 2001 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 5], month[7], year[2007]","Today is July fifteen , 2007 .","-1 -1 2 0 4 3 -1"
"day[1 4], month[7], year[2007]","Today is July fourteen , 2007 .","-1 -1 2 0 4 3 -1"
"day[0 7], month[10], year[2016]","Today is October the seventh , 2016 .","-1 -1 2 -1 1 4 3 -1"
"day[0 7], month[4], year[2007]","It is April seven in the year 2007 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[2], year[2009]","Today is February the third , 2009 .","-1 -1 2 -1 1 4 3 -1"
"day[2 9], month[9], year[2006]","The date is September twenty nine , 2006 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 7], month[2], year[2010]","It is the seventh of February , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 9], month[9], year[2019]","The date is twenty nine September 2019 .","-1 -1 -1 0 0 2 3 -1"
"day[1 1], month[5], year[2014]","It is May eleven , 2014 .","-1 -1 2 0 4 3 -1"
"day[0 7], month[5], year[2020]","The date is seven May 2020 .","-1 -1 -1 0 2 3 -1"
"day[1 9], month[12], year[2011]","Today is December nineteen in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[6], year[2005]","It is June the tenth , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[0 8], month[2], year[2019]","It is February the eighth , 2019 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[10], year[2019]","It is fourteen October of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 0], month[2], year[2005]","Today is twenty February of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 9], month[4], year[2004]","It is twenty nine April 2004 .","-1 -1 0 0 2 3 -1"
"day[1 7], month[3], year[2005]","Today is March seventeen in the year 2005 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 2], month[10], year[2011]","It is October two in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 2], month[6], year[2002]","It is twelve June 2002 .","-1 -1 0 2 3 -1"
"day[1 3], month[9], year[2008]","Today is thirteen September of the year 2008 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[1], year[2016]","It is January two in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[2], year[2008]","It is February nine , 2008 .","-1 -1 2 0 4 3 -1"
"day[1 9], month[1], year[2017]","It is nineteen January of the year 2017 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[7], year[2012]","The date is July sixteen , 2012 .","-1 -1 -1 2 0 4 3 -1"
"day[1 1], month[9], year[2001]","It is September eleven in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[5], year[2008]","It is the ninth of May , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[9], year[2014]","Today is September fifteen , 2014 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[2], year[2013]","Today is February the twelfth of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 5], month[5], year[2000]","Today is the twenty fifth of May in the year 2000 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[3], year[2012]","It is the sixth of March , 2012 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[1], year[2002]","It is the twenty fourth of January in the year 2002 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[12], year[2004]","It is December the eleventh , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[2 7], month[3], year[2007]","Today is the twenty seventh of March , 2007 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 3], month[12], year[2000]","The date is thirteen December of the year 2000 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 4], month[12], year[2015]","It is four December 2015 .","-1 -1 0 2 3 -1"
"day[0 6], month[2], year[2019]","Today is February the sixth of the year 2019 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[5], year[2013]","The date is one May 2013 .","-1 -1 -1 0 2 3 -1"
"day[3 1], month[5], year[2007]","The date is May thirty one in the year 2007 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 2], month[1], year[2007]","The date is January the second of the year 2007 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[1], year[2011]","Today is the eleventh of January , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 6], month[5], year[2007]","Today is May six , 2007 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[9], year[2019]","It is twenty nine September 2019 .","-1 -1 0 0 2 3 -1"
"day[0 4], month[11], year[2010]","The date is four November of the year 2010 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[10], year[2020]","It is twelve October of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[3 0], month[12], year[2009]","Today is December thirty , 2009 .","-1 -1 2 0 4 3 -1"
"day[0 7], month[10], year[2010]","It is the seventh of October , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 3], month[10], year[2009]","Today is twenty three October of the year 2009 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 8], month[8], year[2004]","It is August twenty eight in the year 2004 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 6], month[9], year[2019]","Today is sixteen September 2019 .","-1 -1 0 2 3 -1"
"day[2 1], month[9], year[2001]","The date is twenty one September 2001 .","-1 -1 -1 0 0 2 3 -1"
